label,youtube_id,time_start,time_end,split,is_cc
arm wrestling,Tzz2eUBYDN0,12,22,train,0
arm wrestling,UhSBVQr3bqE,41,51,train,0
arm wrestling,VIPYbKYkSR8,3,13,train,0
arm wrestling,VuE_B8JVPaY,9,19,train,0
arm wrestling,Wq8BVRn5Xso,22,32,train,0
arm wrestling,XYzS9ncPtHU,11,21,train,0
arm wrestling,Y3pREqdhis8,113,123,train,0
arm wrestling,YcBG2hssS4c,0,10,train,0
arm wrestling,ZR-PF29bwF8,41,51,train,0
arm wrestling,Zr6bPbgaGqo,70,80,train,0
arm wrestling,aA52wn7N_f8,3,13,train,0
arm wrestling,adTj283OZZ8,11,21,train,0
arm wrestling,awqMWUt3fiE,5,15,train,0
arm wrestling,bUDzu_HTNOQ,0,10,train,0
arm wrestling,c0PQ4eOTRBI,26,36,train,0
arm wrestling,cUsvXZL-2Ow,73,83,train,0
arm wrestling,d4OmKoykaWU,20,30,train,0
arm wrestling,elPVlcTgjAg,46,56,train,0
arm wrestling,esZ-5Gg7odk,15,25,train,0
arm wrestling,ew2833bUhjI,13,23,train,0
arm wrestling,grn5rVKA_zc,0,10,train,0
arm wrestling,i-xJcKYGRbg,16,26,train,0
arm wrestling,iLQvOmMEN2I,22,32,train,0
arm wrestling,j4A8CQ6lYrU,108,118,train,0
arm wrestling,j6D5lRQdldU,1,11,train,0
arm wrestling,jnQrS9NWOUc,5,15,train,0
arm wrestling,kF63_XqYztY,3,13,train,0
arm wrestling,ldczAmm3a_0,11,21,train,0
arm wrestling,nJPW2lfz8UA,47,57,train,0
arm wrestling,oHBRXzEC2wc,0,10,train,0
arm wrestling,oLk3d2YyTx8,4,14,train,0
arm wrestling,oMkxOJPTVjo,43,53,train,0
arm wrestling,o_ag6mjozOw,5,15,train,0
arm wrestling,qin-4PruydU,69,79,train,0
arm wrestling,r98ZzKo2USc,2,12,val,0
arm wrestling,rT5y_fuswt8,73,83,train,0
arm wrestling,rUB3V8wDOGo,127,137,train,0
arm wrestling,rUDAscucBhs,10,20,train,0
arm wrestling,rjkpguF6vDE,53,63,train,0
arm wrestling,slTxqwvYdZQ,1,11,train,0
arm wrestling,t-HX4SEoVDA,2,12,train,0
arm wrestling,t7CWB5kyx6I,2,12,train,0
arm wrestling,vSeUVXUT8Sg,25,35,train,0
arm wrestling,vSeuwmoHzlo,178,188,train,0
arm wrestling,vTWZ7VmDsZ0,2,12,train,0
arm wrestling,xGx3fDSzoXg,39,49,train,0
arm wrestling,z6DdWsPJ_pY,0,10,train,0
arm wrestling,zXQojDtG7ww,1,11,train,0
arm wrestling,zfIQTMHQ5UE,51,61,train,0
arm wrestling,zpsP39pwoMs,14,24,train,0
beatboxing,35e66esEhu0,22,32,train,0
beatboxing,3W0B8GMbOVc,2,12,train,0
beatboxing,52kRn1XJ3Xw,208,218,train,0
beatboxing,52wT9kPLElI,1,11,train,0
beatboxing,5JulG6RWTvA,1,11,train,0
beatboxing,5bCbosZlru4,25,35,train,0
beatboxing,5s6Ox9Z1DsI,0,10,train,0
beatboxing,7LIOiB23538,0,10,train,0
beatboxing,85BMGAwphcw,17,27,train,0
beatboxing,85N26TxiIIM,22,32,train,0
beatboxing,9GI-CTGudp0,75,85,val,0
beatboxing,AX95zgcXbog,128,138,train,0
beatboxing,DXOwKsCJxZg,162,172,train,0
beatboxing,DXZsF-LWBJM,92,102,train,0
beatboxing,ES4yaYs0RUQ,108,118,train,0
beatboxing,FDtIP0VQ-Vc,89,99,train,0
beatboxing,GTw3k_UGkhs,84,94,train,0
beatboxing,Hm1h5RD-J5A,24,34,train,0
beatboxing,IA0E2YBctoM,41,51,train,0
beatboxing,IA9tOHeb-hg,109,119,train,0
beatboxing,IAmOfsgThBA,76,86,train,0
beatboxing,IQTqAiOwjm0,4,14,train,0
beatboxing,InIno9TBsYk,3,13,train,0
beatboxing,KbZQDPdBgTc,3,13,train,0
beatboxing,KbgWUTEaZF0,70,80,train,0
beatboxing,Kbqc6L_KK7s,0,10,train,0
beatboxing,KtLmFoFLhIs,1,11,train,0
beatboxing,LXCmISEjoRo,0,10,train,0
beatboxing,OGJtkj0jI7A,62,72,val,0
beatboxing,QbOqMUHPT_k,139,149,train,0
beatboxing,RU_1SP6mtOU,0,10,train,0
beatboxing,RVunz9kYzDY,8,18,train,0
beatboxing,RtPoHLGVixE,496,506,train,0
beatboxing,SZYfXnoTmPE,255,265,val,0
beatboxing,Tit739536BU,8,18,train,0
beatboxing,U-35obMf-Cg,0,10,train,0
beatboxing,U-FJ_5-6lG0,1,11,train,0
beatboxing,U-nFGxrOEA8,70,80,train,0
beatboxing,U6h0Ocrr0Og,8,18,train,0
beatboxing,U7H45xijv_I,145,155,train,0
beatboxing,XAtseXp_qlw,24,34,train,0
beatboxing,X_3WlCIovWk,10,20,train,0
beatboxing,Xw6zjPEOGHs,34,44,train,0
beatboxing,Xx4gjsfyPSA,147,157,train,0
beatboxing,XxYKxWrj6Pw,1,11,train,0
beatboxing,Xxvnbyn1oCg,149,159,train,0
beatboxing,ZJX1FXdqY_s,226,236,train,0
beatboxing,ZOWx4ui2z44,1,11,train,0
beatboxing,ZStWGWvx23A,126,136,train,0
beatboxing,Zm0jzuCtqwI,37,47,train,0
beatboxing,ZmuUu1FDd-c,8,18,train,0
beatboxing,aAckuo2ofC8,257,267,train,0
beatboxing,aAizO7boZjM,34,44,train,0
beatboxing,aRf9LQaSguA,33,43,train,0
beatboxing,amyHj-MCIHQ,38,48,train,0
beatboxing,bqvTUcFzfMA,70,80,train,0
beatboxing,brIls1bcFzw,85,95,train,0
beatboxing,br_fjcPqtMw,3,13,train,0
beatboxing,bsEhjvqL4cw,5,15,val,0
beatboxing,cED99KxB5xc,37,47,train,0
beatboxing,cSdeRDzg4tI,51,61,train,0
beatboxing,e9Ol0-DZh-M,152,162,train,0
beatboxing,f8WTUKW-6pY,13,23,train,0
beatboxing,fNLAmiK-9ms,60,70,train,0
beatboxing,fZBXo8K80lg,33,43,train,0
beatboxing,fzeIUdxSoIQ,22,32,val,0
beatboxing,hY5eIC-4sMk,18,28,train,0
beatboxing,hZIJxRHeN6k,18,28,train,0
beatboxing,hgI7Cam5r9o,2,12,train,0
beatboxing,j51PKpBD6JU,13,23,train,0
beatboxing,j6lcsaXKfYM,3,13,train,0
beatboxing,kE-1A9drrws,51,61,train,0
beatboxing,mlbbytXWz2o,206,216,train,0
beatboxing,oed85ke89-Y,83,93,train,0
beatboxing,owyqGIb3UhM,50,60,train,0
beatboxing,oxIepnsoNc8,51,61,val,0
beatboxing,p7SC_-M9e4s,23,33,train,0
beatboxing,p7em3ioL4hw,36,46,train,0
beatboxing,pVlwuPhGIFM,332,342,train,0
beatboxing,tA7MW2SsMos,3,13,train,0
beatboxing,tA9hNYWLi4k,0,10,train,0
beatboxing,tAk-axFAqow,73,83,train,0
beatboxing,tBVKGSsIiyw,8,18,train,0
beatboxing,wUDca8LWx3k,0,10,train,0
beatboxing,wu7yNTl4I0E,38,48,train,1
beatboxing,wueH0ipNeno,132,142,train,0
beatboxing,wvBosK5OF_8,79,89,train,0
beatboxing,wvbCZOT45g0,52,62,train,0
beatboxing,wvcOHjGJyi4,3,13,train,0
beatboxing,x5ZG21tTifU,98,108,train,0
beatboxing,x5wnYZERpsY,191,201,train,0
beatboxing,x6VvArRIlCg,7,17,train,0
beatboxing,x6cKhEQ7t-Q,25,35,train,0
beatboxing,yw_DtgifTp0,1,11,train,0
beatboxing,yxSGrnA-7ng,13,23,train,0
beatboxing,zfO_Rjrn1qw,338,348,train,0
beatboxing,zfRSMfE0l90,101,111,train,0
beatboxing,zfTPW9B4pRE,150,160,train,0
beatboxing,zvdv6rA3_do,9,19,train,0
beatboxing,zve-_vgdgx4,305,315,train,0
biking through snow,-J61UB-rk8E,6,16,train,0
biking through snow,00zydDGN6Rk,175,185,train,0
biking through snow,0dGJS1uNwDE,121,131,train,0
biking through snow,18NP9a02zXw,81,91,train,0
biking through snow,1Qhml-MVv9g,519,529,train,0
biking through snow,1kzdjgUr0Pg,3,13,train,0
biking through snow,29jI9tNv_Cs,10,20,train,0
biking through snow,2eIiotHRTFk,31,41,train,0
biking through snow,3otwzkQaevA,3,13,train,0
biking through snow,5P8N3-W4l1w,507,517,train,0
biking through snow,5gUpSYQ-IfU,164,174,train,0
biking through snow,6dA5ycZEXNw,4,14,train,0
biking through snow,6sRpntwnQGI,384,394,train,0
biking through snow,7-HLoioOsSQ,318,328,train,0
biking through snow,8lF0R0r36qw,168,178,train,0
biking through snow,8z56an4R01k,15,25,val,0
biking through snow,9Felg-bRqAY,4,14,train,0
biking through snow,9Mhe7CaUDug,3,13,train,0
biking through snow,9mHvv2P-3wE,107,117,train,0
biking through snow,AkF4CEQkAhE,3,13,train,0
biking through snow,Av3T_C_O0vg,548,558,train,0
biking through snow,B-Jtg5nYKIQ,243,253,train,0
biking through snow,C03NtYx2Tpw,141,151,train,0
biking through snow,CACA1zq0MMk,167,177,train,0
biking through snow,CJi-yR1iqGo,82,92,train,0
biking through snow,ESariE1cDaI,9,19,train,0
biking through snow,EhiTQZuSm5I,189,199,train,0
biking through snow,FVqFsKHG64M,256,266,train,0
biking through snow,F_Z7MrC25so,328,338,train,0
biking through snow,GAGe9SZmVpU,0,10,train,0
biking through snow,GdgFb9bamkc,27,37,train,0
biking through snow,IBf8x6gghmU,2,12,train,0
biking through snow,ITVbWo0wWjE,184,194,train,0
biking through snow,JlyVqONdLNk,29,39,train,0
biking through snow,LINLa7E46qA,148,158,train,0
biking through snow,MAHwiZpaXw4,42,52,train,0
biking through snow,OF54OGcP6UM,145,155,train,0
biking through snow,Ofndtr1yiik,27,37,train,0
biking through snow,PzeyoxsLQfQ,4,14,train,0
biking through snow,QKxx4g4Gq5U,98,108,train,0
biking through snow,QLWpYCoTbS8,100,110,train,0
biking through snow,QTuSXrQbLzA,59,69,val,0
biking through snow,QrWI5vQrjAY,85,95,train,0
biking through snow,RRok3NXJMBg,2,12,train,0
biking through snow,SFPmvl6s3m8,30,40,train,0
biking through snow,SZAb8WKN3KI,31,41,train,0
biking through snow,SpduDzcEBxk,198,208,train,0
biking through snow,TJ5sjmMGUQE,53,63,train,0
biking through snow,TzNs6ZJff7E,167,177,train,0
biking through snow,U8MILumDYic,37,47,train,0
biking through snow,UIsZlGQDSaQ,12,22,train,0
biking through snow,V3bMbePMSJw,38,48,train,0
biking through snow,Vpc3D-TZMrA,251,261,train,0
biking through snow,W-9bdyJrG_E,24,34,train,0
biking through snow,WD8yK_--UTA,44,54,train,0
biking through snow,WYsTLvefyyY,19,29,train,0
biking through snow,XaiIUZKPgPM,17,27,train,0
biking through snow,XtUhrBS4WZk,130,140,train,0
biking through snow,Y_z4GKGO7Is,9,19,train,0
biking through snow,_8FefRzcWjg,183,193,train,0
biking through snow,b-6p2W5zmLw,5,15,train,0
biking through snow,bfuG3ne38sQ,66,76,train,0
biking through snow,dJikfJ2kgp4,98,108,train,0
biking through snow,edgJfaEJMiU,31,41,train,0
biking through snow,fEHWCewYnfA,143,153,train,0
biking through snow,fTrapjiaK3E,2,12,train,0
biking through snow,frXyGmW7vCs,34,44,train,0
biking through snow,fv2_H0LSD4Q,151,161,train,0
biking through snow,g3GJvDqtfys,31,41,val,0
biking through snow,geIeo7Y2xMg,32,42,train,0
biking through snow,hZU5DOsqxjM,4,14,train,0
biking through snow,iIfpc4EILS0,424,434,val,0
biking through snow,jJE6Nx-oN7Y,141,151,train,0
biking through snow,jiz-kxn-sD0,144,154,train,0
biking through snow,k3CIyNES06o,2,12,train,0
biking through snow,kkFZQSkPJPQ,204,214,train,0
biking through snow,m6PSRemXUvo,29,39,train,0
biking through snow,n3Lyysy0OeQ,8,18,train,0
biking through snow,nPIaF2G1Jb8,171,181,train,0
biking through snow,nfdLoE7L9Ao,1,11,train,0
biking through snow,no-NxQvaNjI,127,137,train,0
biking through snow,oMFsmAFrh3M,5,15,train,0
biking through snow,oeS3uc2ikM8,1,11,train,0
biking through snow,phzIzdqap00,135,145,train,0
biking through snow,qr1QKGQy664,8,18,train,0
biking through snow,r7OasXYVLME,31,41,train,0
biking through snow,rBz_dtLQXZI,16,26,train,0
biking through snow,rLcAJi-Htlc,109,119,train,0
biking through snow,s_LXn4lyjmE,47,57,train,0
biking through snow,soBM8A3K880,75,85,train,0
biking through snow,tSDetjXINn0,28,38,train,0
biking through snow,tsoRDqDMMxM,120,130,train,0
biking through snow,ttd1cc2ucYg,0,10,val,0
biking through snow,tvGKzMUfIGI,247,257,train,0
biking through snow,uJfwCAWjHjg,43,53,train,0
biking through snow,uT5OklZIJCk,25,35,train,0
biking through snow,uc67mNBQRAg,2,12,val,0
biking through snow,ucCLdABWScI,3,13,train,0
biking through snow,w_sJOasJ8FU,74,84,train,0
biking through snow,zEKRKUuIA5Y,0,10,train,0
blowing glass,-4J9Cg84umY,4,14,train,0
blowing glass,-YWO_P7-NgA,134,144,train,0
blowing glass,0XBGmSGLwp0,336,346,train,0
blowing glass,150-b5Zq3To,265,275,train,0
blowing glass,15xfzdYYPow,117,127,train,0
blowing glass,27_CSXByd3s,111,121,train,0
blowing glass,48UwVdv84Jg,47,57,train,0
blowing glass,4D75Fc5H_Yw,27,37,train,0
blowing glass,4ICKsnR8SgM,0,10,train,0
blowing glass,4VS-1tWoCAo,200,210,train,0
blowing glass,87oq9SfLLug,26,36,val,0
blowing glass,99N-7Kf54DY,158,168,train,0
blowing glass,AChQFTJETq8,381,391,train,0
blowing glass,ADD060jBiAQ,2,12,val,0
blowing glass,AQrbRSnRt8M,354,364,val,0
blowing glass,AyHDTMCwvn0,34,44,train,0
blowing glass,BPBLF4qpQEQ,23,33,train,0
blowing glass,C0mAjnkAMpQ,82,92,train,0
blowing glass,C9btPDNJfUQ,68,78,train,0
blowing glass,CAB1wJAIKQs,41,51,train,0
blowing glass,CVlbraFvnpg,56,66,train,0
blowing glass,D0-Jh_uvloA,35,45,train,0
blowing glass,DD3gbj8mj68,767,777,train,1
blowing glass,DNEqG7ESmKQ,9,19,train,0
blowing glass,DNg0mXDNaWc,21,31,train,0
blowing glass,Ds-y5H8H4M0,6,16,train,0
blowing glass,EBAmd9cVq54,9,19,train,0
blowing glass,EJI2lfbp860,32,42,train,0
blowing glass,FM4kTFBUKRc,139,149,train,0
blowing glass,FlXsEyojxoc,48,58,train,0
blowing glass,GAA-cZhQpl8,92,102,train,0
blowing glass,GM-tHfrnV4Q,114,124,train,0
blowing glass,HfN3h64CYTI,392,402,train,0
blowing glass,Ih54QZEYIjY,40,50,train,0
blowing glass,JIR0PsWMq9Q,60,70,train,0
blowing glass,KJ99I9g6PU4,64,74,train,0
blowing glass,M0SneJGi49k,29,39,train,0
blowing glass,Mftvg_SGkDs,155,165,val,0
blowing glass,MhtaZR7XH1w,310,320,train,0
blowing glass,NHo-250zLRE,150,160,train,0
blowing glass,O1bRrZ0Flig,46,56,train,0
blowing glass,QowloeUakOE,5,15,train,0
blowing glass,QxE0Rn0b51A,9,19,train,0
blowing glass,RM1UVKUxnEU,6,16,train,0
blowing glass,S5Qs8E-JDSI,7,17,train,0
blowing glass,SFIB_6MODMo,1080,1090,train,0
blowing glass,SXF4gN9s_5Y,97,107,train,0
blowing glass,SZmr7uzHLlY,201,211,train,0
blowing glass,SdOlxPfJr8Q,7,17,train,0
blowing glass,VvPb4k43xgM,8,18,train,0
blowing glass,WgXvCfB7jHM,1,11,train,0
blowing glass,WjUY3beEaJY,8,18,train,0
blowing glass,Ws6fcL6l4WY,53,63,train,0
blowing glass,Wy3P-KWgpx4,15,25,train,0
blowing glass,Xa66c09eaW8,25,35,train,0
blowing glass,YYiYEEiOIOo,40,50,train,0
blowing glass,YmPc3ut_61w,220,230,train,0
blowing glass,Yqirj_B9vtQ,909,919,train,0
blowing glass,Z9RTDTdlPA4,70,80,train,0
blowing glass,ZGBEz3f34Bk,0,10,train,0
blowing glass,_Sp-WEmIAqw,1,11,train,0
blowing glass,_geFvStosbs,15,25,train,0
blowing glass,_ngkYzjZTqQ,19,29,train,0
blowing glass,aMpB25YJaT4,47,57,train,0
blowing glass,aw43nRwZrTw,23,33,train,0
blowing glass,dDyxFqZ27TY,4,14,train,0
blowing glass,dQMdKEkqEPg,50,60,train,0
blowing glass,deIN1T3SCw0,413,423,train,0
blowing glass,di6G91Cciow,12,22,train,0
blowing glass,f2dEVshABCo,406,416,train,0
blowing glass,gF1mLAOd1qU,9,19,train,0
blowing glass,hsAKgn2Y5tQ,115,125,train,0
blowing glass,iy4NMXafWm4,159,169,train,0
blowing glass,jI4u_S1LjQQ,4,14,train,0
blowing glass,kM7sKgzetE8,12,22,train,0
blowing glass,kVoAhyyy3v0,168,178,val,0
blowing glass,kYIXN2yexcY,35,45,train,0
blowing glass,kZUinsOjdn4,25,35,train,0
blowing glass,l4pRMv1UL3M,2,12,val,0
blowing glass,l6XD8dQqJT0,35,45,train,0
blowing glass,ln8Q2V4X8W8,139,149,train,0
blowing glass,nYUHHUI2XTY,130,140,train,0
blowing glass,nt7pzypybzE,153,163,train,0
blowing glass,nv_BUNdDi6M,360,370,train,0
blowing glass,oMrZaozOvdQ,24,34,train,0
blowing glass,pXH1Y85faiw,29,39,train,0
blowing glass,pkakR3JSTuU,6,16,train,0
blowing glass,qoQh3r2fQ78,38,48,train,0
blowing glass,rP7P_Uqfqu8,2,12,train,0
blowing glass,rg7TZX4a_Rs,185,195,train,0
blowing glass,t7jHAEUUALQ,16,26,train,0
blowing glass,thR7-TLF4ZA,3,13,train,0
blowing glass,uYUnrmVS0B0,294,304,train,0
blowing glass,vB1DRCVeaTs,63,73,train,0
blowing glass,wnsDEp7nwCA,91,101,train,0
blowing glass,xAmHvKMXS5Q,39,49,train,0
blowing glass,yLKB4qdHRQs,33,43,train,0
blowing glass,yyl-Gnea05g,0,10,train,0
blowing glass,z-ku-B5buQ4,229,239,train,0
blowing glass,zPN-MF2UfXE,50,60,train,0
blowing out candles,0Dbqyd-mHVk,4,14,train,0
blowing out candles,0_sKj7i6EFk,11,21,train,0
blowing out candles,0eQb87i18v0,17,27,train,0
blowing out candles,1dtRND8EOsw,12,22,train,0
blowing out candles,1hk3E7VlyLo,64,74,train,0
blowing out candles,2jHm6rR_8pM,1,11,train,0
blowing out candles,2tPnbgquLu4,1,11,train,0
blowing out candles,3A8W9Z9TX8w,36,46,train,0
blowing out candles,3BxOGKVZ7lQ,55,65,train,0
blowing out candles,3da2_dDLqSM,32,42,train,0
blowing out candles,4C5B760w58A,12,22,train,0
blowing out candles,5_CGN0XqnrU,72,82,train,0
blowing out candles,5yjcUxUPApA,37,47,train,0
blowing out candles,6ghIZLpMXcE,29,39,train,0
blowing out candles,6q1PeH2qJRw,1,11,train,0
blowing out candles,83IWWMr8jvg,33,43,train,0
blowing out candles,9RJ3ff5xKgo,39,49,train,0
blowing out candles,9VrWiDJzQTc,24,34,train,0
blowing out candles,A4uvbs4WMl8,1,11,train,0
blowing out candles,BDFR1EfU4kU,1,11,train,0
blowing out candles,BjhTpKVP52Q,28,38,train,0
blowing out candles,Bx5pR77FApA,0,10,train,0
blowing out candles,CKRzbl8qdfw,15,25,train,0
blowing out candles,CNE_1ReQYq0,1,11,train,0
blowing out candles,CdDElAIuv_w,0,10,train,0
blowing out candles,DJhD2ne40L4,3,13,train,0
blowing out candles,FutxoMp5OtE,26,36,train,0
blowing out candles,GXqCo0-C33c,34,44,train,0
blowing out candles,Gu3aUcZKQjU,29,39,train,0
blowing out candles,H1Eg8lNbP8o,4,14,train,0
blowing out candles,H1azEaVGXyo,14,24,train,0
blowing out candles,HfajpMUjY-s,10,20,train,0
blowing out candles,I6toP4YXo6M,8,18,train,0
blowing out candles,II4OUnenewk,2,12,train,0
blowing out candles,II9zja83XkI,29,39,train,0
blowing out candles,K5NQGEGIJ_o,5,15,train,0
blowing out candles,MC7O2sZz14w,54,64,train,0
blowing out candles,NSeWXu4UfaY,0,10,train,0
blowing out candles,OPIuFf8jsAc,2,12,train,0
blowing out candles,OWyif3CnfMI,11,21,train,0
blowing out candles,PGlZE6wlh_8,206,216,train,0
